"Cmd.","Sub cmd.","Data","Description"
"1A","05,0060","See p. 21","Sets or reads the [] setting."
"1A","05,0061","See p. 21","Sets or reads the [UP] setting."
"1A","05,0062","See p. 21","Sets or reads the [DN] setting."
"1A","05,0063","00/01","Sets or reads the Screen Capture [POWER] SW setting. (00=OFF, 01=ON)"
"1A","05,0064","00/01","Sets or reads the Screen Capture File Type setting. (00=PNG, 01=BMP)"
"1A","05,0065","00/01","Sets or reads the Keyboard Type setting. (00=Ten-key, 01=Full Keyboard)"
"1A","05,0066","00 ~ 02","Sets or reads the Full Keyboard Layout setting. (00=English, 01=German, 02=French)"
"1A","05,0067","00/01","Sets or reads the Calibration Marker setting. (00=OFF, 01=ON)"
"1A","05,0068","00 00 ~ 02 55","Sets or reads the REF Adjust setting. (00 00=0%, 02 55=100%)"
"1A","05,0069","00/01","Sets or reads the Output Select setting. (USB AF/IF Output) (00=AF, 01=IF)"
"1A","05,0070","00 00 ~ 02 55","Sets or reads the AF Output Level setting. (USB AF/IF Output) (00 00=0% ~ 02 55=100%)"
"1A","05,0071","00/01","Sets or reads the AF SQL setting. (USB AF/IF Output) (00=OFF (Open), 01=ON)"
"1A","05,0072","00/01","Sets or reads the AF Beep/Speech Output setting. (USB AF/IF Output) (00=OFF, 01=ON)"
"1A","05,0073","00 00 ~ 02 55","Sets or reads the IF Output Level setting. (USB AF/IF Output) (00 00=0% ~ 02 55=100%)"
"1A","05,0074","00/01","Sets or reads the Output Select setting. (ACC AF/IF Output) (00=AF, 01=IF)"
"1A","05,0075","00 00 ~ 02 55","Sets or reads the AF Output Level setting. (ACC AF/IF Output) (00 00=0% ~ 02 55=100%)"
"1A","05,0076","00/01","Sets or reads the AF SQL setting. (ACC AF/IF Output) (00=OFF (Open), 01=ON)"
"1A","05,0077","00/01","Sets or reads the AF Beep/Speech Output setting. (ACC AF/IF Output) (00=OFF, 01=ON)"
"1A","05,0078","00 00 ~ 02 55","Sets or reads the IF Output Level setting. (ACC AF/IF Output) (00 00=0% ~ 02 55=100%)"
"1A","05,0079","00/01","Sets or reads the Output Select setting. (LAN AF/IF Output) (00=AF, 01=IF)"
"1A","05,0080","00/01","Sets or reads the AF SQL setting. (LAN AF/IF Output) (00=OFF (Open), 01=ON)"
"1A","05,0081","00 00 ~ 02 55","Sets or reads the USB MOD Level setting. (00 00=0% ~ 02 55=100%)"
"1A","05,0082","00 00 ~ 02 55","Sets or reads the ACC MOD Level setting. (00 00=0% ~ 02 55=100%)"
"1A","05,0083","00 00 ~ 02 55","Sets or reads the LAN MOD Level setting. (00 00=0% ~ 02 55=100%)"
"1A","05,0084","00 ~ 05","Sets or reads the DATA OFF MOD setting. (00=MIC, 01=USB, 02=ACC, 03=MIC, USB, 04=MIC, ACC, 05=LAN)"
"1A","05,0085","00 ~ 05","Sets or reads the DATA MOD setting. (00=MIC, 01=USB, 02=ACC, 03=MIC, USB, 04=MIC, ACC, 05=LAN)"
"1A","05,0086","00/01","Sets or reads the VOICE setting. (External Keypad) (00=OFF, 01=ON)"
"1A","05,0087","00/01","Sets or reads the KEYER setting. (External Keypad) (00=OFF, 01=ON)"
"1A","05,0088","00/01","Sets or reads the RTTY setting. (External Keypad) (00=OFF, 01=ON)"
"1A","05,0089","00/01","Sets or reads the CI-V Transceive setting. (00=OFF, 01=ON)"
"1A","05,0090","00 00 ~ 02 23","Sets or reads the USB/LAN→REMOTE Transceive Address setting. (00 00=00h ~ 02 23=DFh)"
"1A","05,0091","00/01","Sets or reads the CI-V Output (for ANT) setting. (00=OFF, 01=ON)"
"1A","05,0092","00/01","Sets or reads the CI-V USB (A) Echo Back setting. (00=OFF, 01=ON)"
"1A","05,0093","00/01","Sets or reads the CI-V USB (B) Echo Back setting. (00=OFF, 01=ON)"
"1A","05,0094","00/01","Sets or reads the USB (B) Function setting. (00=RTTY Decode, 01=CI-V)"
"1A","05,0095","00/01","Sets or reads the SEND Relay Output setting. (00=OFF, 01=ON)"
"1A","05,0096","00 ~ 04","Sets or reads the USB SEND setting. (00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) USB (A) and USB (B) are the 2 virtual COM ports on the [USB] port on the rear panel. You cannot select the same terminal used for USB Keying (CW) or USB Keying (RTTY) setting."
"1A","05,0097","00 ~ 04","Sets or reads the USB Keying (CW) setting. (00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) USB (A) and USB (B) are the 2 virtual COM ports on the [USB] port on the rear panel. You cannot select the same terminal used for the USB SEND setting."
"1A","05,0098","00 ~ 04","Sets or reads the USB Keying (RTTY) setting. (00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) USB (A) and USB (B) are the 2 virtual COM ports on the [USB] port on the rear panel. You cannot select the same terminal used for the USB SEND setting."
"1A","05,0099","00/01","Sets or reads the PTT Port Function setting. (00=PTT Input, 01=PTT Input + SEND Output)"
"1A","05,0100","00/01","Sets or reads the DHCP (valid after restart) setting. (00=OFF, 01=ON)"
"1A","05,0101","See p. 21","Sets or reads the IP Address (valid after restart) setting. Valid when DHCP is set to OFF (1A 05 01 00 00). You cannot set the same address as ""Default Gateway."""
"1A","05,0102","See p. 21","Reads the IP address obtained by DHCP (valid after restart). When DHCP is set to OFF (1A 05 01 00 00), the manually set IP address will be returned."
"1A","05,0103","01 ~ 30","Sets or reads the Subnet Mask (valid after restart) setting. (01=128.0.0.0 (1 bit) ~ 30=255.255.255.252 (30 bit)) Valid when DHCP is set to OFF (1A 05 01 00 00)."
"1A","05,0104","See p. 21","Sets or reads the Default Gateway (valid after restart) setting. Valid when DHCP is set to OFF (1A 05 01 00 00). You cannot set the same address as ""IP Address."""
"1A","05,0105","See p. 21","Sets or reads the Primary DNS Server (valid after restart) setting. Valid when DHCP is set to OFF (1A 05 01 00 00)."
"1A","05,0106","See p. 21","Sets or reads the Secondary DNS Server (valid after restart) setting. Valid when DHCP is set to OFF (1A 05 01 00 00)."
"1A","05,0107","See p. 18","Sets or reads the Network Name setting. (Up to 15 characters)"
"1A","05,0108","00/01","Sets or reads the Network Control (valid after restart) setting. (00=OFF, 01=ON)"
"1A","05,0109","00/01","Sets or reads the Power OFF Setting (for Remote Control) setting. (00=Only Shutdown, 01=Standby/Shutdown)"
"1A","05,0110","00 00 01 ~ 06 55 35","Sets or reads the Control Port (UDP) (valid after restart) setting. (00 00 01=1 ~ 06 55 35=65535)"
"1A","05,0111","00 00 01 ~ 06 55 35","Sets or reads the Serial Port (UDP) (valid after restart) setting. (00 00 01=1 ~ 06 55 35=65535)"
"1A","05,0112","00 00 01 ~ 06 55 35","Sets or reads the Audio Port (UDP) (valid after restart) setting. (00 00 01=1 ~ 06 55 35=65535)"
"1A","05,0113","00/01","Sets or reads the Internet Access Line (valid after restart) setting. (00=FTTH (Fiber To The Home), 01=ADSL/CATV)"
"1A","05,0114","See p. 18","Sets or reads the Network Radio Name setting. (Up to 16 characters)"
"1A","05,0115","00 00 ~ 02 55","Sets or reads the LCD Backlight setting. (00 00=0% ~ 02 55=100%)"
"1A","05,0116","00/01","Sets or reads the Display Type setting. (00=A (Black background), 01=B (Blue background))"
"1A","05,0117","00/01","Sets or reads the Display Font setting. (00=Square, 01=Round)"
"1A","05,0118","00/01","Sets or reads the Meter Peak Hold setting. (00=OFF, 01=ON)"
"1A","05,0119","00/01","Sets or reads the Memory Name setting. (00=OFF, 01=ON)"
"1A","05,0120","00/01","Sets or reads the MN-Q Popup (MN OFF→ON) setting. (00=OFF, 01=ON)"
"1A","05,0121","00/01","Sets or reads the BW Popup (PBT) setting. (00=OFF, 01=ON)"
"1A","05,0122","00/01","Sets or reads the BW Popup (FIL) setting. (00=OFF, 01=ON)"
"1A","05,0123","00 ~ 03","Sets or reads the Screen Saver setting. (00=OFF, 01=15 minutes, 02=30 minutes, 03=60 minutes)"
"1A","05,0124","00/01","Sets or reads the External Display setting. (00=OFF, 01=ON)"
"1A","05,0125","00 ~ 02","Sets or reads the Resolution setting. (00=640x480, 01=1024x768, 02=1280x720)"
"1A","05,0126","00/01","Sets or reads the Audio Output setting. (00=OFF, 01=ON)"
"1A","05,0127","00/01","Sets or reads the Opening Message setting. (00=OFF, 01=ON)"
"1A","05,0128","See p. 18","Sets or reads the My Call setting. (Up to 10 characters)"
"1A","05,0129","00/01","Sets or reads the Power ON Check setting. (00=OFF, 01=ON)"
"1A","05,0130","00/01","Sets or reads the Display Language setting. (00=English, 01=Japanese)"
"1A","05,0131","00/01","Sets or reads the System Language setting. (00=English, 01=Japanese)"
"1A","05,0132","20 20 01 01 ~ 20 99 12 31","Sets or reads the Date setting. (20 20 01 01=2020/01/01 ~ 20 99 12 31=2099/12/31)"
"1A","05,0133","00 00 ~ 23 59","Sets or reads the Time setting. (00 00=00:00 ~ 23 59=23:59)"
"1A","05,0134","00/01","Sets or reads the NTP Function setting. (00=OFF, 01=ON)"
"1A","05,0135","See p. 18","Sets or reads the NTP Server Address setting. (Up to 64 characters)"
"1A","05,0136","See p. 22","Sets or reads the UTC Offset setting."
"1A","05,0137","00/01","Sets or reads the Scope during Tx (CENTER Type) setting. (00=OFF, 01=ON)"
"1A","05,0138","00 ~ 02","Sets or reads the Max Hold setting. (00=OFF, 01=10s Hold, 02=ON)"
"1A","05,0139","00 ~ 02","Sets or reads the CENTER Type Display setting. (00=Filter Center, 01=Carrier Point center, 02=Carrier Point center (Abs. Freq.))"
"1A","05,0140","00/01","Sets or reads the Marker Position (Fix Type/SCROLL Type) setting. (00=Filter Center, 01=Carrier Point)"
"1A","05,0141","00/01","Sets or reads the VBW setting. (00=Narrow, 01=Wide)"
"1A","05,0142","00 ~ 03","Sets or reads the Averaging setting. (00=OFF, 01=2, 02=3, 03=4)"
"1A","05,0143","00/01","Sets or reads the Waveform Type setting. (00=Fill, 01=Fill+Line)"
"1A","05,0144","See p. 22","Sets or reads the Waveform Color (Current) setting."
"1A","05,0145","See p. 22","Sets or reads the Waveform Color (Line) setting."
"1A","05,0146","See p. 22","Sets or reads the Waveform Color (Max Hold) setting."
"1A","05,0147","00/01","Sets or reads the Waterfall Display setting. (00=OFF, 01=ON)"
"1A","05,0148","00 ~ 02","Sets or reads the Waterfall Speed setting. (00=Slow, 01=Mid, 02=Fast)"
"1A","05,0149","00 ~ 02","Sets or reads the Waterfall Size (Expand Screen) setting. (00=Small, 01=Mid, 02=Large)"
"1A","05,0150","00 ~ 07","Sets or reads the Waterfall Peak Color Level setting. (00=Grid 1 ~ 07=Grid 8)"
"1A","05,0151","00/01","Sets or reads the Waterfall Marker Auto-hide setting. (00=OFF, 01=ON)"
"1A","05,0152","See p. 22","Sets or reads the Fixed Edge No.1 setting. (0.03 ~ 1.60)"
"1A","05,0153","","Sets or reads the Fixed Edge No.2 setting. (0.03 ~ 1.60)"
"1A","05,0154","","Sets or reads the Fixed Edge No.3 setting. (0.03 ~ 1.60)"
"1A","05,0155","","Sets or reads the Fixed Edge No.4 setting. (0.03 ~ 1.60)"
"1A","05,0156","See p. 22","Sets or reads the Fixed Edge No.1 setting. (1.60 ~ 2.00)"
